iter	Passed	Remaining
0	0	737
1	1	638
2	1	605
3	2	589
4	2	574
5	3	589
6	4	585
7	4	579
8	5	578
9	5	568
10	6	565
11	6	563
12	7	559
13	7	561
14	8	559
15	9	559
16	9	560
17	10	562
18	10	567
19	11	566
20	12	572
21	13	578
22	13	578
23	14	577
24	14	575
25	15	574
26	15	572
27	16	570
28	17	569
29	17	567
30	18	565
31	18	562
32	19	561
33	19	561
34	20	564
35	20	562
36	21	559
37	21	556
38	22	556
39	23	554
40	23	553
41	24	553
42	24	556
43	25	556
44	26	559
45	26	558
46	27	559
47	28	560
48	28	558
49	29	558
50	29	557
51	30	556
52	31	556
53	31	555
54	32	554
55	32	552
56	33	550
57	33	548
58	34	547
59	34	546
60	35	546
61	36	546
62	36	545
63	37	543
64	37	543
65	38	542
66	38	541
67	39	541
68	40	542
69	40	541
70	41	540
71	41	540
72	42	539
73	43	538
74	43	539
75	44	539
76	45	539
77	45	539
78	46	538
79	46	537
80	47	536
81	47	536
82	48	532
83	48	531
84	49	530
85	49	530
86	50	532
87	51	531
88	51	531
89	52	530
90	52	529
91	53	529
92	54	529
93	54	529
94	55	530
95	56	530
96	56	529
97	57	528
98	58	528
99	58	527
100	59	526
101	59	527
102	60	527
103	61	526
104	61	525
105	62	523
106	62	523
107	63	523
108	63	522
109	64	521
110	65	521
111	65	520
112	66	519
113	66	518
114	67	517
115	67	516
116	68	515
117	68	514
118	69	513
119	69	512
120	70	512
121	71	511
122	71	511
123	72	510
124	72	510
125	73	510
126	74	511
127	75	511
128	75	512
129	76	511
130	77	511
131	77	511
132	78	510
133	78	509
134	79	508
135	79	507
136	80	506
137	80	505
138	81	504
139	81	503
140	82	502
141	82	500
142	83	500
143	84	500
144	84	499
145	85	499
146	85	498
147	86	498
148	87	497
149	87	496
150	88	495
151	88	494
152	89	493
153	89	492
154	90	492
155	90	491
156	91	490
157	91	489
158	92	488
159	92	487
160	93	486
161	93	485
162	94	484
163	94	483
164	95	482
165	95	481
166	96	480
167	96	479
168	97	479
169	98	478
170	98	478
171	99	478
172	99	477
173	100	477
174	101	477
175	101	476
176	102	475
177	102	474
178	103	473
179	103	472
180	104	472
181	104	471
182	105	470
183	105	469
184	106	468
185	106	467
186	107	466
187	107	466
188	108	465
189	108	464
190	109	463
191	110	463
192	110	462
193	111	461
194	111	460
195	112	459
196	112	458
197	113	458
198	113	458
199	114	459
200	115	460
201	116	459
202	117	459
203	117	458
204	118	457
205	118	457
206	119	456
207	119	455
208	120	455
209	120	454
210	121	453
211	121	452
212	122	452
213	122	451
214	123	450
215	123	449
216	124	448
217	124	448
218	125	447
219	125	446
220	126	445
221	127	447
222	128	447
223	129	446
224	129	446
225	130	445
226	130	445
227	131	445
228	132	444
229	132	444
230	133	443
231	133	443
232	134	442
233	135	441
234	135	441
235	136	440
236	136	439
237	137	438
238	137	438
239	138	438
240	138	437
241	139	436
242	140	436
243	140	435
244	141	435
245	141	434
246	142	434
247	143	434
248	143	433
249	144	433
250	144	432
251	145	432
252	146	431
253	146	430
254	147	429
255	147	429
256	148	428
257	148	427
258	149	427
259	150	427
260	150	426
261	151	425
262	151	425
263	152	426
264	153	426
265	154	426
266	155	426
267	155	425
268	156	425
269	156	424
270	157	424
271	158	424
272	159	424
273	159	423
274	160	423
275	161	423
276	162	423
277	163	423
278	163	423
279	164	422
280	165	423
281	166	422
282	166	422
283	167	421
284	167	421
285	168	420
286	169	420
287	169	419
288	170	419
289	170	418
290	171	417
291	171	416
292	172	416
293	173	416
294	173	415
295	174	415
296	175	414
297	175	414
298	176	413
299	176	412
300	177	412
301	177	411
302	178	410
303	178	409
304	179	409
305	180	408
306	180	407
307	181	406
308	181	406
309	182	405
310	182	405
311	183	404
312	184	403
313	184	403
314	185	402
315	185	401
316	186	401
317	186	400
318	187	399
319	187	399
320	188	398
321	189	398
322	189	397
323	190	397
324	190	396
325	191	395
326	192	395
327	192	394
328	193	393
329	193	393
330	194	392
331	194	391
332	195	390
333	195	390
334	196	389
335	196	388
336	197	388
337	197	387
338	198	386
339	198	385
340	199	385
341	199	384
342	200	383
343	200	382
344	201	382
345	201	381
346	202	380
347	203	380
348	203	379
349	204	379
350	204	378
351	205	378
352	206	377
353	206	376
354	207	376
355	207	375
356	208	374
357	208	374
358	209	373
359	209	372
360	210	372
361	210	371
362	211	370
363	211	370
364	212	369
365	212	368
366	213	368
367	214	367
368	214	366
369	215	366
370	215	365
371	216	364
372	216	364
373	217	363
374	217	363
375	218	362
376	219	362
377	219	361
378	220	360
379	220	360
380	221	359
381	222	359
382	223	359
383	223	358
384	224	358
385	224	357
386	225	357
387	225	356
388	226	355
389	226	354
390	227	354
391	227	353
392	228	352
393	228	352
394	229	351
395	229	350
396	230	350
397	231	349
398	231	348
399	232	348
400	232	347
401	233	347
402	233	346
403	234	346
404	235	345
405	236	345
406	236	344
407	237	343
408	237	343
409	238	342
410	238	341
411	239	341
412	239	340
413	240	339
414	240	339
415	241	338
416	241	337
417	242	337
418	242	336
419	243	335
420	243	335
421	244	334
422	244	333
423	245	333
424	245	332
425	246	331
426	246	331
427	247	330
428	247	330
